,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,5.851235361616883e-07,5.4545367029465495e-08,2.0085089441462844e-07,6.144473529704205e-07,-5.2713848223458934e-08,1.0681433467880666e-07,3.5261774096972884e-07,-8.022159265204226e-08,1.1477389805707653e-06,-2.581555630046031e-07,6.064687217852718e-09,6.082247999764584e-07,4.3678455229905485e-07,8.085332496929043e-07,-9.457121070991324e-09,-1.7579800030284419e-07
1,8.213177731985072e-07,4.0936895919422503e-07,4.104484433710786e-07,7.335734567329991e-07,2.348066870936398e-07,2.865147465718289e-07,5.052446170266761e-07,3.469049783077961e-07,1.2331437913611361e-06,-7.327599341812323e-08,1.13779587785702e-07,6.781225375578655e-07,6.838369941663385e-07,5.406651838078961e-06,2.405139046074303e-07,-4.787083248248285e-08
2,1.0473966890912459e-06,7.51695109174981e-07,6.128073196638587e-07,8.51045956324773e-07,5.130461605289306e-07,4.6241943909463143e-07,6.528210410978418e-07,7.689118479374891e-07,1.3256888015866228e-06,1.0828513705410398e-07,2.1860534670997426e-07,7.516642735972616e-07,9.250884615374529e-07,9.810569322508681e-06,4.912878310027589e-07,7.653126791506416e-08
3,1.2601148870625806e-06,1.0759726263188604e-06,8.065180454503973e-07,9.63626683285667e-07,7.792804567924743e-07,6.300012479549988e-07,7.948418126307858e-07,1.1816546923030652e-06,1.4243139781884576e-06,2.86051091068475e-07,3.1948418369355633e-07,8.277002359045157e-07,1.1559702076367715e-06,1.3929068407316058e-05,7.401956505534252e-07,1.9665448518950517e-07
4,1.4565523886576116e-06,1.3769708550445037e-06,9.901786465861687e-07,1.0691383291457908e-06,1.0308004694206195e-06,7.856245948285534e-07,9.308767758234378e-07,1.5821802849630478e-06,1.527939826226867e-06,4.5957649057416125e-07,4.154267281136537e-07,9.049844516110401e-07,1.3726144841698754e-06,1.767652568216392e-05,9.848375420201493e-07,3.118864342224243e-07
5,1.634472988966928e-06,1.6502161914331789e-06,1.1624471102669584e-06,1.1666945746290524e-06,1.2649980543900226e-06,9.271163339347479e-07,1.060490623286156e-06,1.9688130743320758e-06,1.6356589812073592e-06,6.284096187677766e-07,5.055894767811215e-07,9.822964376045191e-07,1.572024679940107e-06,2.0980654665151214e-05,1.223173680227539e-06,4.217560639597151e-07
6,1.792603515529306e-06,1.8925012688844634e-06,1.322062604061127e-06,1.2564513332382804e-06,1.479651981148782e-06,1.053907646650053e-06,1.183181732181503e-06,2.3408341210852807e-06,1.7468327594660878e-06,7.920770829136691e-07,5.893323098547692e-07,1.0586352478039249e-06,1.7521983271308974e-06,2.3791348046028172e-05,1.4536457503097715e-06,5.258692128043211e-07
7,1.9305930549440506e-06,2.1022059609068987e-06,1.4678678473177512e-06,1.339063040365036e-06,1.6732766915880236e-06,1.1666014239487613e-06,1.2983588638249983e-06,2.697939392036699e-06,1.8609373801796905e-06,9.500962404609798e-07,6.661703781363107e-07,1.1333127494472544e-06,1.912200472649044e-06,2.608635867764255e-05,1.6753530613528805e-06,6.238539969165092e-07
8,2.0486604567141467e-06,2.2793046400842165e-06,1.5989876996404166e-06,1.4152203839608271e-06,1.8453115783445033e-06,1.2663067975945945e-06,1.4053743102746385e-06,3.0398044733913573e-06,1.9773426745451696e-06,1.1020071721334839e-06,7.356838579817904e-07,1.2058333428559962e-06,2.0520241257179186e-06,2.7871222178755114e-05,1.8881692673693322e-06,7.153846797285267e-07
9,2.1472668365755684e-06,2.425137865364125e-06,1.7151083749485138e-06,1.4854497400946746e-06,1.996131437721628e-06,1.3541664611406889e-06,1.5036878350673572e-06,3.3660272313069625e-06,2.095212938452024e-06,1.247433252819758e-06,7.975072428559842e-07,1.275690842992416e-06,2.172165589148562e-06,2.9173992435244973e-05,2.0926582662204826e-06,8.002771881403347e-07
10,2.2271024918480986e-06,2.5420214484986494e-06,1.8166101189341646e-06,1.5501144455840538e-06,2.1269515001753057e-06,1.4312139340603296e-06,1.5930693665154683e-06,3.6763785360400034e-06,2.2134812853473867e-06,1.386178658314901e-06,8.51402852857522e-07,1.342254569418194e-06,2.273202068984574e-06,3.003748072845796e-05,2.2898166178583194e-06,8.786001924268737e-07
11,2.2891787541376774e-06,2.6327311227186137e-06,1.9044481498016447e-06,1.6095298275378512e-06,2.2396191050608973e-06,1.4984463124895378e-06,1.673606973118011e-06,3.970924733548869e-06,2.330922971114604e-06,1.518280061029203e-06,8.973580749599984e-07,1.4047713380583272e-06,2.355643411292171e-06,3.0511745294526838e-05,2.4807905359217274e-06,9.50730491038724e-07
12,2.3347001513805457e-06,2.7000774388879297e-06,1.979868542690442e-06,1.6640715333876218e-06,2.3363253069544398e-06,1.5569426283048397e-06,1.7455880584579646e-06,4.249755105449685e-06,2.4464366577592938e-06,1.6438904816233916e-06,9.356417791397999e-07,1.4624190435107057e-06,2.420002683393069e-06,3.0648252843062014e-05,2.6666578572378762e-06,1.0173002374198227e-06
13,2.364881994214958e-06,2.7467518965682466e-06,2.0441301245550633e-06,1.7141389269354498e-06,2.419352738682905e-06,1.6079001478822885e-06,1.809530401393706e-06,4.5126027598300865e-06,2.559346141250307e-06,1.7630774572514574e-06,9.667585551680504e-07,1.5143110231705144e-06,2.466921159132845e-06,3.049588382419892e-05,2.848260616662603e-06,1.0790504943519127e-06
14,2.3809989278717665e-06,2.775374647238825e-06,2.098426376589108e-06,1.7600362741274363e-06,2.4909364565905178e-06,1.6525469178661171e-06,1.866273801698683e-06,4.758679600801196e-06,2.6693754985461013e-06,1.875747933493103e-06,9.913409969160574e-07,1.5594292464014395e-06,2.4972035141342113e-06,3.009892162891241e-05,3.026068888165206e-06,1.1366628585946027e-06
15,2.3845159820345754e-06,2.788621793590753e-06,2.1440014469367275e-06,1.8019495156695766e-06,2.5532442508387703e-06,1.6920329485593106e-06,1.916868694819322e-06,4.986689159142596e-06,2.7762786004436914e-06,1.9817319273121514e-06,1.0101059413470787e-06,1.5965967925834214e-06,2.51185891168245e-06,2.9497251548126285e-05,3.200099161041041e-06,1.1906395906955355e-06
16,2.377075257555011e-06,2.7892639738858455e-06,2.1821905427523192e-06,1.8400128950102426e-06,2.608391441124821e-06,1.7274538993132746e-06,1.9623883342352264e-06,5.195062386354952e-06,2.8795060752972106e-06,2.0809222637381505e-06,1.0238737381466105e-06,1.6246280048990844e-06,2.512254260897306e-06,2.8727851508951245e-05,3.3698810227588146e-06,1.2412654422386777e-06
17,2.3604450488526647e-06,2.779994931327213e-06,2.2142583972875845e-06,1.8743352709199992e-06,2.6583573438115518e-06,1.7599818656956623e-06,2.0038689867610976e-06,5.382477989509579e-06,2.9783026020303605e-06,2.1734514118923933e-06,1.033530291791778e-06,1.6426576804160814e-06,2.500060301568862e-06,2.782594933297878e-05,3.5344869466547015e-06,1.2886489751791135e-06
18,2.336560366096874e-06,2.7631766573242192e-06,2.2412119729555616e-06,1.9049578782737918e-06,2.704829846469117e-06,1.7909165256462368e-06,2.0422487897312698e-06,5.548343875426486e-06,3.0722222264711137e-06,2.259826491166577e-06,1.0399416465181486e-06,1.6504532384491175e-06,2.4769258259767653e-06,2.6825151064741887e-05,3.6927111726769162e-06,1.3327993576674154e-06
19,2.3075136160297175e-06,2.740665845424611e-06,2.2637374042984247e-06,1.9318155459445474e-06,2.7491034471237354e-06,1.821577072100743e-06,2.078215691089389e-06,5.692957850816386e-06,3.1616117594701384e-06,2.3408246549160216e-06,1.0439020332780379e-06,1.6485469548963125e-06,2.4443183244232454e-06,2.5756796441169056e-05,3.84334053792655e-06,1.3736770974026724e-06
20,2.275365651745497e-06,2.713776261361803e-06,2.282265452543299e-06,1.954773276632604e-06,2.792033896314311e-06,1.8531345272263427e-06,2.112123888701091e-06,5.817463833874792e-06,3.247590960993329e-06,2.417207461980323e-06,1.0460986556642042e-06,1.6381583142208308e-06,2.403649998888649e-06,2.4648932853286298e-05,3.9852668051363295e-06,1.411234157124107e-06
21,2.241919182333425e-06,2.683365555804157e-06,2.2970902147235435e-06,1.973769049934831e-06,2.834050578005189e-06,1.8864878640381147e-06,2.144068723779239e-06,5.923778916300385e-06,3.3315273160976754e-06,2.4895468472201835e-06,1.0471101979862277e-06,1.6209217137284603e-06,2.3563672149687476e-06,2.3525338863361154e-05,4.117302329205168e-06,1.4455083207206686e-06
22,2.2086094600269783e-06,2.6499265831471485e-06,2.308412953648372e-06,1.98901848828135e-06,2.8752280155825042e-06,1.9222035275104066e-06,2.174036680802555e-06,6.014484694928424e-06,3.4144697599321765e-06,2.5582985677909925e-06,1.047478285304976e-06,1.5985781840302171e-06,2.3038419295608483e-06,2.240504460346201e-05,4.237854198529095e-06,1.4767476086856136e-06
23,2.176496215577508e-06,2.613564270439241e-06,2.3163079921472193e-06,2.0011483198334608e-06,2.9152992036380166e-06,1.9605027117350276e-06,2.202047236347275e-06,6.092613770549358e-06,3.496923645734118e-06,2.6239486057989473e-06,1.0477682653897062e-06,1.5728072373747993e-06,2.2472980057025053e-06,2.1302432394642498e-05,4.344743037398685e-06,1.5054428645022392e-06
24,2.146321832234049e-06,2.573977642276371e-06,2.3207537609600367e-06,2.0111244017629073e-06,2.9536334525613556e-06,2.0012963730343956e-06,2.228214095459279e-06,6.161335031235218e-06,3.578879872173662e-06,2.686939406586046e-06,1.0485390965425188e-06,1.5451344064243789e-06,2.1878944407276813e-06,2.0227627137702248e-05,4.4352554827776844e-06,1.5321898172783523e-06
25,2.1185741125797217e-06,2.5306970820859476e-06,2.3217392188155935e-06,2.01997970826034e-06,2.9893000652319083e-06,2.0442990303000688e-06,2.2526446196852785e-06,6.2236139510354664e-06,3.6597922513075463e-06,2.747429884844044e-06,1.0502715924257486e-06,1.5168268835364732e-06,2.1267394624353505e-06,1.9186971238091033e-05,4.506310497670394e-06,1.5574771772549485e-06
26,2.093464535086477e-06,2.4835179977316632e-06,2.3192698901468774e-06,2.0285263937802733e-06,3.0211267876557433e-06,2.089158733879124e-06,2.2752596517882204e-06,6.281900784160354e-06,3.7384656550577133e-06,2.8052049366201784e-06,1.0533464582532674e-06,1.4888528998254251e-06,2.0647844376703998e-06,1.818362021326775e-05,4.554767296947707e-06,1.5815647924039506e-06
27,2.0708772336217174e-06,2.4327302353420053e-06,2.3132191289891275e-06,2.0372725826685096e-06,3.047661448148674e-06,2.1354589316579984e-06,2.2957124899732165e-06,6.337835344547609e-06,3.8131528164847728e-06,2.8598013432502076e-06,1.0580720938349297e-06,1.4619222436897947e-06,2.0028125093405226e-06,1.7218367253885614e-05,4.578015077212141e-06,1.6044526073065973e-06
28,2.050443946572031e-06,2.378935348916008e-06,2.303242186102296e-06,2.0465847794424184e-06,3.0671262040340893e-06,2.182619045454827e-06,2.3134325109569483e-06,6.392037270364422e-06,3.882033691029962e-06,2.910661555322902e-06,1.0646835182548448e-06,1.4365110772715143e-06,1.941596962954766e-06,1.629087106871118e-05,4.574667323374526e-06,1.625840746736839e-06
29,2.031798963710278e-06,2.3227102850081257e-06,2.2889461251394514e-06,2.0568853386339653e-06,3.0774768397902336e-06,2.2298018988584324e-06,2.3277605393917346e-06,6.444135473999213e-06,3.943803305666213e-06,2.9571665936443266e-06,1.0733102783219112e-06,1.4128650778474695e-06,1.8820485134815309e-06,1.540131994669444e-05,4.544818560708268e-06,1.64509529785058e-06
